49848,Miomir,Geffroy,-,1954-08-31,1989-10-05
47427,Divier,Gerteisen,X,1956-06-23,1987-02-02
16070,Aleksandar,Rissland,X,1960-12-18,1991-03-31
41621,Shunichi,Georg,MM,1956-12-21,1990-01-25
27977,Geoff,Linnainmaa,X,1962-02-09,1986-03-28
19883,Yongqiao,Biros,X,1961-01-14,1991-10-31
16230,Ung,Babu,X,1955-07-16,1985-08-08
57637,Ghassan,Moehrke,Z,1957-08-27,1985-12-12
44004,Shigeo,Delgrange,X,1964-05-24,1997-10-21
14404,Sariel,Beetstra,X,1962-04-27,1994-12-23
39472,Masamitsu,Bale,X,1964-11-04,1992-08-22
32180,Abdelaziz,Hofman,X,1952-10-24,1985-04-24
52574,Conrado,Bierbaum,X,1960-07-10,1990-11-05
11212,Teruyuki,Peternell,X,1961-08-10,1985-10-16
36285,Karsten,Jording,X,1963-11-29,1999-11-13
52785,Rosine,Bojadziev,X,1959-07-07,1991-10-30
32821,Zhonghua,Guardalben,F,1958-08-23,86-05-06
57707,Greger,Erez,X,1961-12-09,1986-07-08
