50317,Boalin,Siksek,X,1956-05-01,1992-08-25
52912,Maren,Baezner,X,1954-03-28,1996-08-06
31174,Bernt_,Kilgour,M,57-01-06,89-02-21
27748,Shridhar,Ambroszkiewicz,X,1961-09-18,1987-02-25
34456,Fumitake,Baby,X,1955-10-26,1994-09-07
10387,Parto,Wrigl3y,F,1952-11-03,1987-02-19
48009,Golgen,Alblas,M,54-01-23,1992-09-17
15606,Tadanori,Couchot,X,1961-07-07,1985-11-29
14765,Maria+,Montemayor,F,1961-07-01,1987-06-24
26329,Oksana,Bell_More,X,1956-12-27,1991-12-18
58620,Toshimori,Rosenbaum,X,1955-12-15,1986-09-15
42961,Naftali,Rosaz,X,1964-08-26,1991-08-01
41514,Magy,Iisaku,X,1953-04-07,1985-04-11
30778,Anyuan,Leuchs,X,1957-09-05,1986-03-31
44895,Moie,Picco,X,1961-07-21,1995-12-18
35671,Manibrata,Kroon,X,1956-05-25,1995-05-11
12283,Slavian,Rosin,X,1959-12-01,1988-02-18
51564,KayLiang,Vural,M,1963-09-12,1987-07-35
18950,Percy,Sessa,X,1964-11-19,1992-08-04
33115,Padma,Peyn,X,1952-09-26,1988-11-28
31689,Fusako,Delgrange,X,1959-05-31,1986-05-07
22300,Guoxiang,Ballarin,X,1963-05-12,1991-05-09
